SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Complexity,Category
1,"Which package provides the Playwright Test runner for Node.js?","playwright-core","@playwright/test","selenium-webdriver","jest-playwright-core",B,Simple,Setup
2,"By default how does Playwright Test launch browsers when tests run from the command line?","Headed mode","Headless mode","Incognito window only","Remote-debugging mode",B,Simple,Setup
3,"Which method navigates a page to a URL?","page.open()","page.goto()","page.navigate()","page.visit()",B,Simple,Navigation
4,"Which locator is generally preferred for a button with an accessible name?","page.getByRole('button' { name: 'Submit' })","page.locator('//button[1]')","page.locator('button:nth-child(1)')","page.getByTitle('button')",A,Simple,Locators
5,"Which locator finds a form control using its associated label text?","getByText()","getByLabel()","getByAltText()","getByTitle()",B,Simple,Locators
6,"Which locator is best suited to find an input using its placeholder?","getByPlaceholder()","getByRole('placeholder')","getByInput()","getByValue()",A,Simple,Locators
7,"Which locator finds an element using the configured test-id attribute?","getById()","getByTestId()","getByAttribute()","getByDataId()",B,Simple,Locators
8,"Which method performs a normal mouse click on a locator?","tapOnly()","press()","click()","trigger()",C,Simple,Actions
9,"Which method replaces the existing value of an input and enters new text?","type()","fill()","append()","setText()",B,Simple,Actions
10,"Which method selects a checkbox when it is not already selected?","select()","enable()","check()","toggle()",C,Simple,Actions
11,"Which method clears a selected checkbox?","uncheck()","clear()","deselect()","reset()",A,Simple,Actions
12,"Which method selects an option in a native HTML select element?","chooseOption()","selectOption()","pick()","setSelected()",B,Simple,Actions
13,"Which method returns the rendered inner text of an element?","innerText()","html()","value()","nodeText()",A,Simple,Actions
14,"Which locator finds an element by its visible text content?","getByText()","getByLabel()","getByAltText()","getByPlaceholder()",A,Simple,Locators
15,"Which assertion verifies that an element becomes visible?","toExist()","toDisplay()","toBeVisible()","toShow()",C,Simple,Assertions
16,"Which assertion verifies the text content of a locator?","toHaveText()","toEqualText()","toContainNode()","toMatchLabel()",A,Simple,Assertions
17,"Which assertion verifies the current page URL?","toHaveURL()","toBeAt()","toMatchPage()","toHaveAddress()",A,Simple,Assertions
18,"Which assertion verifies the page title?","toHaveTitle()","toMatchTitle()","toBeTitled()","toHaveHeading()",A,Simple,Assertions
19,"Which method captures a screenshot of the current page?","page.capture()","page.screenshot()","page.snapshot()","page.image()",B,Simple,Screenshots
20,"Which screenshot option captures the entire scrollable page?","allPage: true","captureAll: true","fullPage: true","scrollPage: true",C,Simple,Screenshots
21,"What is the primary purpose of a BrowserContext in Playwright?","Compile TypeScript","Provide isolated browser sessions","Generate reports","Start the web server",B,Simple,Contexts
22,"Which built-in fixture gives a fresh browser tab for a test?","browserName","page","request","workerInfo",B,Simple,Fixtures
23,"Which hook runs before each test in its scope?","test.beforeAll()","test.beforeEach()","test.setup()","test.preTest()",B,Simple,Hooks
24,"Which hook runs after each test in its scope?","test.afterEach()","test.afterAll()","test.cleanup()","test.postTest()",A,Simple,Hooks
25,"Which API groups related tests?","test.group()","test.suite()","test.describe()","test.collection()",C,Simple,Test Organization
26,"Which annotation prevents a test from running?","test.fail()","test.slow()","test.skip()","test.retry()",C,Simple,Annotations
27,"Which API temporarily runs only one selected test?","test.focus()","test.only()","test.single()","test.runOne()",B,Simple,Test Organization
28,"Which API changes the timeout for the current test?","test.setTimeout()","page.setTimeout()","expect.setTimeout()","test.timeoutFor()",A,Simple,Timeouts
29,"What does test.slow() do by default?","Skips the test","Triples the test timeout","Runs the test serially","Adds one retry",B,Simple,Annotations
30,"Which CLI flag runs tests with a visible browser window?","--visible","--headed","--browser-ui","--show",B,Simple,CLI
31,"Which CLI flag opens Playwright UI Mode?","--ui","--viewer","--studio","--interactive",A,Simple,CLI
32,"Which CLI flag starts Playwright in debug mode?","--inspect","--debug","--pause","--trace",B,Simple,CLI
33,"Which command starts Playwright's test generator?","npx playwright record","npx playwright codegen","npx playwright generate-test","npx playwright capture",B,Simple,CLI
34,"Which command opens the generated HTML report?","npx playwright open-report","npx playwright report","npx playwright show-report","npx playwright html",C,Simple,CLI
35,"Which command opens a saved Playwright trace file?","npx playwright show-trace trace.zip","npx playwright open-trace trace.zip","npx playwright trace trace.zip","npx playwright debug-trace trace.zip",A,Simple,Tracing
36,"Which browser engines are directly supported by Playwright?","Chromium Firefox and WebKit","Chrome Safari and Internet Explorer","Chromium and Opera only","Firefox and EdgeHTML only",A,Simple,Browsers
37,"Which file normally contains Playwright Test configuration?","package-lock.json","playwright.config.ts","test.settings.xml","browser.config.json",B,Simple,Configuration
38,"Which configuration option lets tests use relative URLs such as page.goto('/login')?","rootURL","host","baseURL","startURL",C,Simple,Configuration
39,"In playwright.config.ts browser-context options such as viewport are commonly placed under which property?","env","use","runtime","browserOptions",B,Simple,Configuration
40,"Which option sets the browser viewport size?","windowSize","screen","viewport","resolution",C,Simple,Configuration
41,"Which option loads previously saved cookies and local storage into a context?","sessionFile","storageState","cookieStore","authCache",B,Simple,Authentication
42,"Which use option controls video recording?","recordVideo","video","captureVideo","movie",B,Simple,Configuration
43,"Which screenshot setting captures screenshots only when tests fail?","screenshot: 'failed'","screenshot: 'only-on-failure'","screenshot: 'on-error'","screenshot: true",B,Simple,Screenshots
44,"Which trace setting is commonly recommended for CI troubleshooting without tracing every successful test?","trace: 'always'","trace: 'off'","trace: 'on-first-retry'","trace: 'retain-all'",C,Simple,Tracing
45,"Which configuration property controls automatic retries?","retryCount","retries","rerun","attempts",B,Simple,Configuration
46,"Which configuration property controls the maximum number of parallel worker processes?","threads","workers","parallelCount","agents",B,Simple,Parallelism
47,"Which configuration feature runs the same test suite with different browsers or settings?","Profiles","Projects","Suites","Variants",B,Simple,Projects
48,"Which CLI option filters tests by title using a regular expression?","--filter","--grep","--match-title","--search",B,Simple,CLI
49,"Which file names are matched by Playwright Test by default?","Only files named test.js","Files matching *.(test|spec).(js|ts|mjs)","Only files under src","Any JavaScript file",B,Simple,Configuration
50,"Which config option specifies the directory containing test files?","testsPath","testDir","specRoot","suiteDir",B,Simple,Configuration
51,"Which method waits for a matching network response?","page.waitForResponse()","page.waitForRequestDone()","page.expectResponse()","page.listenResponse()",A,Simple,Network
52,"Which event can be used to capture browser console messages?","page.on('log')","page.on('console')","page.on('message')","page.on('stdout')",B,Simple,Events
53,"Which dialog method confirms an alert confirm or prompt?","dialog.confirm()","dialog.accept()","dialog.ok()","dialog.submit()",B,Simple,Dialogs
54,"Which dialog method cancels a confirm or prompt?","dialog.cancel()","dialog.reject()","dialog.dismiss()","dialog.close(false)",C,Simple,Dialogs
55,"What should be registered before clicking a link that opens a popup?","page.waitForEvent('popup')","page.waitForLoadState()","browser.waitForWindow()","context.waitForNavigation()",A,Simple,Events
56,"Which method creates a new page in an existing BrowserContext?","context.newPage()","browser.newTab()","page.newWindow()","context.openPage()",A,Simple,Contexts
57,"Which API is designed to locate elements inside an iframe?","page.innerFrame()","page.frameLocator()","page.iframe()","page.locatorFrame()",B,Simple,Frames
58,"Which locator method selects an element by zero-based position?","index()","nth()","at()","position()",B,Simple,Locators
59,"Which method returns the number of elements matched by a locator?","length()","size()","count()","total()",C,Simple,Locators
60,"Which locator filter narrows matches using descendant text?","filter({ hasText: 'Active' })","whereText('Active')","containsText('Active')","matchText('Active')",A,Simple,Locators
61,"What does locator chaining primarily help with?","Running tests in parallel","Narrowing a search within a matched element","Starting a browser","Creating test data",B,Simple,Locators
62,"Which option requests an exact text or accessible-name match in many built-in locators?","strict: true","exact: true","full: true","matchAll: false",B,Simple,Locators
63,"Before locator.click() Playwright normally checks that the element is visible stable enabled receives events and what else?","Has CSS","Resolves to exactly one element","Has text","Is inside a form",B,Simple,Actionability
64,"What is the main effect of click({ force: true })?","It retries forever","It skips non-essential actionability checks such as whether the element receives events","It uses JavaScript click automatically","It disables strictness for all locators",B,Simple,Actionability
65,"Which locator method sends a keyboard key such as Enter?","key()","press()","sendKey()","keyboard()",B,Simple,Actions
66,"Which locator method moves the mouse over an element?","mouseOver()","hover()","focusMouse()","point()",B,Simple,Actions
67,"Which method uploads one or more files to an input type=file element?","uploadFiles()","setInputFiles()","attach()","chooseFiles()",B,Simple,File Upload
68,"Which event should be awaited before an action that starts a download?","page.waitForEvent('file')","page.waitForEvent('download')","page.waitForEvent('save')","page.waitForEvent('attachment')",B,Simple,Downloads
69,"Which Download method saves the downloaded file to a chosen path?","download.moveTo()","download.saveAs()","download.write()","download.export()",B,Simple,Downloads
70,"Which method closes a Browser instance?","browser.quit()","browser.stop()","browser.close()","browser.disposeAll()",C,Simple,Browser Management
71,"Which method closes a BrowserContext and all pages in it?","context.close()","context.quit()","context.destroy()","context.end()",A,Simple,Contexts
72,"Which method refreshes the current page?","page.refresh()","page.reload()","page.restart()","page.reopen()",B,Simple,Navigation
73,"Which method navigates back in browser history?","page.back()","page.goBack()","page.historyBack()","page.previous()",B,Simple,Navigation
74,"Which context method adds HTTP headers to requests made by pages in that context?","context.addHeaders()","context.setExtraHTTPHeaders()","context.setHeaders()","context.httpHeaders()",B,Simple,Network
