SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Complexity,Category
1,"What is Selenium WebDriver primarily used for?","Automating web browsers","Testing database stored procedures","Creating mobile applications","Measuring server CPU usage",A,Simple,WebDriver Overview
2,"Which Selenium component supports execution on remote machines and multiple browsers?","Selenium IDE","Selenium Grid","Selenium RC Recorder","Selenium Builder",B,Simple,Grid
3,"Which method opens a specified URL in the current browser window?","driver.open(url)","driver.get(url)","driver.start(url)","driver.launch(url)",B,Simple,Navigation
4,"Which method returns the title of the current page?","driver.getTitle()","driver.getPageTitle()","driver.title()","driver.currentTitle()",A,Simple,Navigation
5,"Which method returns the current page URL?","driver.getUrl()","driver.currentUrl()","driver.getCurrentUrl()","driver.getPageUrl()",C,Simple,Navigation
6,"Which method returns the current page source?","driver.getPageSource()","driver.getHtml()","driver.readSource()","driver.pageSource()",A,Simple,Navigation
7,"What does driver.close() normally do?","Closes the entire WebDriver session","Closes the current browser window or tab","Clears all cookies","Stops Selenium Grid",B,Simple,Browser Management
8,"What does driver.quit() normally do?","Closes only the current tab","Refreshes the browser","Ends the complete WebDriver session","Logs out of the application",C,Simple,Browser Management
9,"Which method navigates to the previous page in browser history?","driver.navigate().back()","driver.back()","driver.history().previous()","driver.navigateBack()",A,Simple,Navigation
10,"Which method navigates to the next page in browser history?","driver.next()","driver.navigate().forward()","driver.history().next()","driver.forwardPage()",B,Simple,Navigation
11,"Which method refreshes the current page?","driver.refresh()","driver.navigate().reload()","driver.navigate().refresh()","driver.reloadPage()",C,Simple,Navigation
12,"Which Java interface represents a browser element located by Selenium?","WebControl","WebElement","BrowserElement","HtmlElementDriver",B,Simple,Elements
13,"Which method locates a single element?","driver.getElement()","driver.findElement()","driver.searchElement()","driver.locateOne()",B,Simple,Elements
14,"Which method locates multiple matching elements?","driver.findElements()","driver.getElements()","driver.searchElements()","driver.locateAll()",A,Simple,Elements
15,"What happens when findElement() does not find a matching element?","It returns null","It returns an empty list","It throws NoSuchElementException","It refreshes the page",C,Simple,Elements
16,"What does findElements() return when no elements match?","null","An empty list","NoSuchElementException","A list containing null",B,Simple,Elements
17,"Which method performs a standard click on a WebElement?","element.press()","element.click()","element.select()","element.tap()",B,Simple,Interactions
18,"Which method enters text into an editable field?","element.type()","element.setText()","element.sendKeys()","element.write()",C,Simple,Interactions
19,"Which method clears text from an editable field?","element.reset()","element.clear()","element.deleteText()","element.empty()",B,Simple,Interactions
20,"Which method retrieves the visible text of an element?","element.getValue()","element.getText()","element.readText()","element.getContent()",B,Simple,Interactions
